Time,User,Executable,CommandLine,PID,Parent PID,Privileges
20150413164857.402379-420,Brian-HP\Brian,None,"C:\Program Files (x86)\Windows Media Player\wmplayer.exe" /prefetch:1,11684,4068,N/A

20150413164906.216395-420,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k WerSvcGroup,3920,588,N/A

20150413164906.387995-420,Brian-HP\Brian,C:\Windows\SysWOW64\DllHost.exe,C:\Windows\SysWOW64\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},42228,700,N/A

20150413164928.274834-420,Brian-HP\Brian,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},8420,700,N/A

20150413165308.204020-420,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k WerSvcGroup,6596,588,N/A

20150413165337.220071-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,7180,700,N/A

20150413165455.360608-420,Brian-HP\Brian,C:\Users\Brian\Downloads\putty.exe,"C:\Users\Brian\Downloads\putty.exe" ,11992,4068,N/A

20150413165605.997532-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,2936,700,N/A

20150413165610.193940-420,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k WerSvcGroup,20296,588,N/A

20150413165728.552877-420,Brian-HP\Brian,None,"C:\Program Files\Windows Media Player\wmpnscfg.exe",3604,4068,N/A

20150413165838.597000-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,12088,700,N/A

20150413170120.915285-420,NT AUTHORITY\LOCAL SERVICE,None,None,9516,872,N/A

20150413170127.492897-420,NT AUTHORITY\SYSTEM,C:\Windows\system32\PrintIsolationHost.exe,C:\Windows\system32\PrintIsolationHost.exe -Embedding,9764,700,N/A

20150413170258.207057-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,14132,700,N/A

20150413170438.858434-420,NT AUTHORITY\LOCAL SERVICE,C:\Windows\system32\taskhost.exe,taskhost.exe $(Arg0),4864,588,N/A

20150413170517.515301-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,6504,700,N/A

20150413170834.193266-420,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k WerSvcGroup,12464,588,N/A

20150413171610.197667-420,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k WerSvcGroup,6512,588,N/A

Time,User,Executable,CommandLine,PID,Parent PID,Privileges
20150413172302.680894-420,Brian-HP\Brian,C:\Users\Brian\Downloads\putty.exe,"C:\Users\Brian\Downloads\putty.exe" ,42624,4068,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413172346.204970-420,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k WerSvcGroup,42400,588,N/A

20150413172400.010994-420,NT AUTHORITY\SYSTEM,C:\Windows\system32\taskeng.exe,taskeng.exe {140ADDE6-9AE8-434B-A98E-0A1D09CECE29},42800,956,N/A

20150413172522.223139-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,55716,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413173800.010070-420,NT AUTHORITY\SYSTEM,C:\Windows\system32\taskeng.exe,taskeng.exe {3381E6FC-B31A-44F3-9BC3-F2E787401ECD},15404,956,N/A

20150413173830.055722-420,Brian-HP\Brian,C:\Windows\system32\msfeedssync.exe,C:\Windows\system32\msfeedssync.exe sync,16324,588,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174037.819947-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,14296,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174048.802366-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,23352,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174057.023581-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,18672,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174111.063605-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,18364,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174125.072430-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,18076,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174133.200044-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,16804,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174141.405659-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,15584,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174149.548873-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,21556,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174157.660887-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,17172,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174226.444752-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,6780,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174246.350387-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,11704,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174321.029248-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,18400,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413174332.058468-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,26476,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

